ArrayType,SortType,Size,Time
Random,Standard Merge Sort,500,352
Random,Standard Merge Sort,600,427
Random,Standard Merge Sort,700,502
Random,Standard Merge Sort,800,581
Random,Standard Merge Sort,900,662
Random,Standard Merge Sort,1000,770
Random,Standard Merge Sort,1100,817
Random,Standard Merge Sort,1200,893
Random,Standard Merge Sort,1300,982
Random,Standard Merge Sort,1400,1014
Random,Standard Merge Sort,1500,1019
Random,Standard Merge Sort,1600,1091
Random,Standard Merge Sort,1700,1169
Random,Standard Merge Sort,1800,1237
Random,Standard Merge Sort,1900,1309
Random,Standard Merge Sort,2000,1442
Random,Standard Merge Sort,2100,1356
Random,Standard Merge Sort,2200,1395
Random,Standard Merge Sort,2300,1464
Random,Standard Merge Sort,2400,1528
Random,Standard Merge Sort,2500,1636
Random,Standard Merge Sort,2600,1586
Random,Standard Merge Sort,2700,1601
Random,Standard Merge Sort,2800,1665
Random,Standard Merge Sort,2900,1731
Random,Standard Merge Sort,3000,1690
Random,Standard Merge Sort,3100,1733
Random,Standard Merge Sort,3200,1794
Random,Standard Merge Sort,3300,1863
Random,Standard Merge Sort,3400,2020
Random,Standard Merge Sort,3500,2043
Random,Standard Merge Sort,3600,1954
Random,Standard Merge Sort,3700,1950
Random,Standard Merge Sort,3800,2005
Random,Standard Merge Sort,3900,2062
Random,Standard Merge Sort,4000,2114
Random,Standard Merge Sort,4100,2156
Random,Standard Merge Sort,4200,2168
Random,Standard Merge Sort,4300,2201
Random,Standard Merge Sort,4400,2240
Random,Standard Merge Sort,4500,2276
Random,Standard Merge Sort,4600,2358
Random,Standard Merge Sort,4700,2390
Random,Standard Merge Sort,4800,2428
Random,Standard Merge Sort,4900,2508
Random,Standard Merge Sort,5000,2503
Random,Standard Merge Sort,5100,2550
Random,Standard Merge Sort,5200,2659
Random,Standard Merge Sort,5300,2737
Random,Standard Merge Sort,5400,2835
Random,Standard Merge Sort,5500,2944
Random,Standard Merge Sort,5600,2938
Random,Standard Merge Sort,5700,3070
Random,Standard Merge Sort,5800,3520
Random,Standard Merge Sort,5900,3010
Random,Standard Merge Sort,6000,3178
Random,Standard Merge Sort,6100,3172
Random,Standard Merge Sort,6200,3164
Random,Standard Merge Sort,6300,3259
